length,percentage
3,0.005367500116739493
4,0.07505164499226723
5,0.1835630305180801
6,0.10594451476775552
7,0.1343206698246447
8,0.07512693147937038
9,0.11030896399921819
10,0.12166180974454603
11,0.08149978930968234
12,0.023716431803584615
13,0.01967416959074629
14,0.019818136647560537
15,0.01384020083107334
16,0.009558203235207847
17,0.007696313185075576
18,0.0064354917137329545
19,0.0033144578855639805
20,0.0013477819076994659
21,0.0009362577205348822
22,0.0005524154729179756
23,0.00015773812270033686
24,6.301835480361342e-05
25,2.83809784251437e-05
26,1.0660342881365553e-05
27,4.194233264799562e-06
28,1.1883660916932093e-06
29,1.0485583161998904e-07
